Nama Kapal,Tipe Kapal,Prediksi ETA,Jarak / Waktu,Arah / Kecepatan,Draught Saat Ini,Status Navigasi,Posisi Diterima,IMO / MMSI,Panggilan Sinyal,Bendera,Panjang / Lebar
EVER GIVEN,Container Ship,-,-, ,11.1 m,At anchor,1 min ago,9811000 / 353136000,H3RC,Panama,400 / 59 m
EVER GOLDEN,Container Ship,,, ,16.2 m,-,8 days ago,9811012 / 354654000,H9TK,Panama,400 / 59 m
EVER GOODS,Container Ship,,, ,13.4 m,-,5 days ago,9810991 / 371308000,3FRV5,Panama,400 / 59 m
PFLNG DUA,Offshore Support Vessel,-,-, ,13.2 m,-,41 days ago,9739185 / 533131077,9M2059,Malaysia,362 / 52 m
EVER GENTLE,Container Ship,,, ,13.8 m,-,16 hours ago,9820922 / 636019174,D5TG9,Liberia,400 / 59 m
COSCO SHIPPING STAR,Container Ship,-,-, ,12.9 m,Moored,3 min ago,9795658 / 477318200,VRSQ4,Hong Kong,400 / 59 m
COSCO GALAXY,Container Ship,,, ,12.3 m,-,6 days ago,9795634 / 477269300,VRSJ9,Hong Kong,400 / 59 m
COSCO NEBULA,Container Ship,-,-, ,15.6 m,Moored,2 min ago,9795622 / 477194400,VRRW8,Hong Kong,400 / 58 m
COSCO SHIPPING SOLAR,Container Ship,,, ,13.4 m,-,35 hours ago,9795646 / 477302900,VRSO4,Hong Kong,400 / 59 m
MSC WORLD EUROPA,Passenger (Cruise) Ship,,, ,9.3 m,Under way,0 min ago,9837420 / 256070000,9HA5682,Malta,333 / 54 m
COSCO UNIVERSE,Container Ship,-,-, ,12.4 m,Moored,1 min ago,9795610 / 477157400,VRRP4,Hong Kong,400 / 59 m
COSCO PLANET,Container Ship,,, ,12.4 m,-,3 days ago,9795660 / 477345900,VRSU6,Hong Kong,400 / 59 m
MADRID MAERSK,Container Ship,,, ,15.6 m,-,3 days ago,9778791 / 219836000,OWMD2,Denmark,399 / 58 m
MUNICH MAERSK,Container Ship,,, ,16.5 m,-,4 days ago,9778806 / 219835000,OWCH2,Denmark,399 / 58 m
MUMBAI MAERSK,Container Ship,,, ,17.3 m,-,7 days ago,9780471 / 219039000,OWNQ2,Denmark,399 / 58 m
MAASTRICHT MAERSK,Container Ship,-,-, ,11.8 m,Moored,1 min ago,9780483 / 219045000,OWSE2,Denmark,399 / 58 m
MONACO MAERSK,Container Ship,-,-, ,15.4 m,-,6 days ago,9778832 / 219863000,OWNL2,Denmark,399 / 58 m
MURCIA MAERSK,Container Ship,,, ,14.8 m,Under way,0 min ago,9780457 / 219036000,OWTB2,Denmark,399 / 58 m
MILAN MAERSK,Container Ship,-,-, ,13.8 m,-,23 hours ago,9778820 / 219861000,OWGK2,Denmark,399 / 58 m
MARSEILLE MAERSK,Container Ship,-,-, ,16.0 m,Moored,9 min ago,9778844 / 219854000,OWPU2,Denmark,399 / 58 m
MANILA MAERSK,Container Ship,-,-, ,12.6 m,-,22 hours ago,9780469 / 219038000,OWPP2,Denmark,399 / 58 m
MOSCOW MAERSK,Container Ship,-,-, ,11.3 m,Moored,6 min ago,9778818 / 219864000,OWCM2,Denmark,399 / 58 m
MANCHESTER MAERSK,Container Ship,,, ,16.6 m,-,7 days ago,9780445 / 219034000,OWAV2,Denmark,399 / 58 m
ONE TRIBUTE,Container Ship,,, ,16.1 m,-,7 days ago,9769295 / 431787000,7KMG,Japan,400 / 59 m
ONE TRADITION,Container Ship,,, ,13.3 m,-,10 days ago,9769300 / 431808000,7KML,Japan,400 / 59 m
ONE TRIUMPH,Container Ship,-,-, ,16.4 m,-,14 hours ago,9769271 / 538007360,V7FQ8,Marshall Islands,400 / 59 m
ONE TRUST,Container Ship,,, ,12.9 m,Under way,0 min ago,9769283 / 538007378,V7LF7,Marshall Islands,400 / 59 m
OOCL INDONESIA,Container Ship,-,-, ,13.4 m,Moored,0 min ago,9776224 / 477147600,VRRH6,Hong Kong,400 / 59 m
OOCL SCANDINAVIA,Container Ship,,, ,15.3 m,-,2 days ago,9776212 / 477121200,VRRB8,Hong Kong,400 / 59 m
OOCL HONG KONG,Container Ship,,, ,13.8 m,-,4 days ago,9776171 / 477333500,VRQL9,Hong Kong,400 / 59 m
